latitude,longitude,brightness,confidence,frp,daynight,acq_date
-27.2301,148.6747,313.8,42,4.7,D,2019-08-22
-14.5637,126.6541,328.3,68,14.8,D,2019-09-04
-32.2223,146.9928,300.1,15,21.7,N,2019-08-29
-22.5855,149.3573,314.1,87,20.5,N,2019-09-08
-27.9742,153.2209,341.6,89,47.4,D,2019-09-04
-27.9296,152.3105,325.5,100,25.6,N,2019-09-22
-29.8428,152.0991,317.6,34,14.8,D,2019-09-13
-30.9093,152.4314,310.0,46,21.9,N,2019-08-09
-29.0967,152.3904,358.5,85,156.6,D,2019-09-08
-29.1435,152.3938,327.5,79,92.3,D,2019-09-12
-22.6918,150.6131,323.5,71,95.9,D,2019-09-08
-27.3016,148.0585,316.7,94,25.2,N,2019-09-02
-28.9757,152.4036,355.0,72,101.5,D,2019-09-07
-29.7233,152.4088,336.7,88,203.5,D,2019-09-08
-14.505,126.6983,313.7,88,12.6,N,2019-09-03
-26.3321,150.6928,326.2,70,33.4,D,2019-09-05
-30.7733,152.0484,318.6,23,24.4,D,2019-09-13
-29.7221,116.5555,306.4,57,4.7,D,2019-08-16
-14.9903,129.8051,344.4,92,89.2,D,2019-08-13
-14.0498,129.7733,313.7,88,14.9,N,2019-08-11
-30.1497,152.248,336.1,86,290.7,D,2019-09-04
-28.6838,148.173,321.7,40,14.8,D,2019-09-11
-29.0036,150.7751,312.8,61,9.9,D,2019-08-16
-36.6528,145.8388,304.4,59,7.9,D,2019-08-29
-31.6942,152.112,309.5,57,7.8,D,2019-09-02
-30.0616,152.4381,374.5,100,145.5,D,2019-09-16
-26.3532,150.7013,318.3,35,8.5,D,2019-09-09
-26.5963,152.5094,319.4,39,20.0,D,2019-09-06
-27.0855,126.4526,326.6,41,12.3,D,2019-09-04
-22.7502,150.6223,341.0,89,116.7,D,2019-09-06
-29.778,152.1234,357.1,98,78.7,D,2019-09-16
-31.3254,146.3329,307.8,54,53.2,D,2019-08-28
-32.9992,146.4615,322.2,70,23.2,D,2019-08-22
-31.5722,148.7035,309.8,55,6.8,D,2019-08-20
-29.9903,152.2672,350.1,88,69.7,D,2019-09-23
-27.4676,150.0195,335.2,87,185.4,D,2019-08-26
-22.5407,150.302,315.0,90,17.7,N,2019-09-05
-16.4596,123.9535,344.9,93,260.6,D,2019-09-25
-32.9315,151.5561,311.5,71,18.6,D,2019-08-21
-31.7367,147.1597,315.0,70,15.4,D,2019-09-09
-26.642,147.8097,324.7,71,50.7,D,2019-09-13
-29.818,152.7617,310.2,66,7.8,D,2019-08-19
-21.1069,118.7604,305.5,64,7.9,N,2019-09-11
-19.6292,146.3031,311.2,82,25.6,N,2019-09-09
-29.7617,152.4104,307.0,19,9.0,N,2019-09-14
-17.0908,125.2746,328.6,60,19.2,D,2019-09-06
-14.4228,129.5751,321.8,71,27.8,D,2019-08-13
-33.8108,122.7066,323.7,100,26.7,N,2019-09-09
-29.1087,152.2984,308.8,45,8.9,D,2019-09-20
-33.5687,118.0343,312.9,56,11.7,D,2019-08-12
-26.2881,151.0885,319.7,71,11.0,D,2019-08-24
-15.4941,126.9895,310.9,39,14.7,N,2019-09-29
-25.9024,150.9676,311.7,62,24.4,D,2019-09-06
-32.5377,145.9619,312.1,69,7.8,D,2019-08-23
-14.4469,126.8391,316.4,93,16.4,N,2019-09-10
-18.1767,145.937,312.7,45,6.2,D,2019-08-22
-29.8019,152.2182,332.8,44,41.6,D,2019-09-17
-27.9132,123.2857,311.5,83,12.8,N,2019-09-11
-30.181,152.2548,326.5,82,26.1,D,2019-09-07
-29.0458,152.43,309.1,75,10.2,N,2019-09-07
-14.1822,129.8094,335.8,77,30.9,D,2019-08-30
-25.9297,150.8671,337.8,91,40.9,N,2019-09-05
-25.8869,150.9867,310.8,58,39.0,D,2019-08-19
-14.0955,129.8013,342.6,87,51.5,D,2019-09-11
-30.8649,150.7103,309.6,65,5.9,D,2019-08-01
-29.429,115.0197,304.2,58,5.3,D,2019-08-01
-27.0338,126.4809,302.9,52,8.4,N,2019-09-03
-29.0618,152.6134,326.4,100,34.9,N,2019-08-11
-29.0254,152.2635,355.7,97,82.1,D,2019-09-11
-31.6698,152.0823,311.9,64,16.4,D,2019-08-13
-29.8005,152.2056,337.2,81,53.6,D,2019-09-17
-14.5036,126.6891,345.7,100,53.8,N,2019-09-03
-28.4383,152.3401,305.5,20,10.0,N,2019-09-07
-18.2959,146.0054,323.8,79,26.8,D,2019-08-23
-32.2411,152.0153,305.3,61,11.0,D,2019-08-21
-29.2681,149.3876,432.7,87,714.6,D,2019-09-18
-30.0328,152.3507,307.3,21,8.9,N,2019-09-15
-26.8279,152.443,311.2,24,13.3,D,2019-09-08
-16.4036,123.9263,353.2,95,46.7,D,2019-09-25
-22.6707,150.6049,323.7,43,40.9,D,2019-09-05
-14.4986,126.7458,345.1,90,55.6,D,2019-09-06
-16.2672,126.0997,338.7,83,26.6,D,2019-08-17
-30.1452,152.1037,323.1,76,17.1,D,2019-09-12
-15.2132,129.8845,325.8,76,21.6,D,2019-08-04
-22.4657,150.7075,316.2,75,16.6,N,2019-09-26
-29.0231,152.3716,386.1,100,180.8,N,2019-09-06
-30.1529,152.3241,304.8,11,8.9,N,2019-09-07
-28.971,152.3586,311.2,35,7.0,D,2019-09-09
-29.7087,152.3569,315.0,50,8.2,D,2019-09-27
-26.1532,153.0433,303.5,55,20.9,N,2019-09-18
-32.2517,146.9331,317.6,35,21.8,D,2019-09-24
-31.822,148.946,309.7,69,18.5,D,2019-08-03
-17.2176,125.3878,333.2,78,29.2,D,2019-09-06
-31.3799,150.082,328.4,100,30.6,N,2019-08-28
-15.0577,129.7258,330.0,42,39.8,D,2019-08-13
-31.736,147.1655,318.0,68,9.2,D,2019-09-07
-27.6704,151.6852,318.5,43,29.9,D,2019-08-05
-30.5003,152.1222,311.3,71,16.2,D,2019-08-05
-17.348,123.7428,353.2,95,52.2,D,2019-08-31
-25.6273,151.2341,313.8,28,14.3,D,2019-08-20
-13.8971,129.8819,334.6,79,43.5,D,2019-08-23
-30.9214,152.4126,309.5,54,9.8,D,2019-08-06
-34.2197,142.2975,315.6,52,12.1,D,2019-09-11
-29.466,130.4102,342.7,86,29.4,D,2019-09-11
-29.4005,150.7015,328.8,83,21.8,D,2019-08-06
-28.0706,153.1296,324.2,59,17.3,D,2019-09-03
-33.9252,149.3246,305.8,58,7.8,D,2019-08-24
-28.9806,152.5252,315.5,91,17.5,N,2019-09-08
-26.6256,147.8446,335.6,83,24.6,D,2019-09-17
-28.9146,152.3195,336.3,86,31.4,D,2019-09-16
-30.0502,152.2678,309.8,62,7.9,D,2019-09-12
-29.7717,152.047,309.5,46,16.0,N,2019-09-16
-29.0065,152.5052,388.8,100,296.7,D,2019-09-07
-30.1857,152.4848,340.6,30,72.9,D,2019-09-06
-29.8328,152.147,324.2,60,28.0,D,2019-09-14
-27.5112,149.0864,304.3,38,7.3,D,2019-08-10
-30.2184,152.5917,334.4,55,36.1,D,2019-09-10
-14.4977,126.7605,330.0,61,22.4,D,2019-09-06
-30.762,152.0575,331.1,65,35.9,D,2019-09-13
-29.9244,152.8751,305.3,45,11.7,D,2019-08-05
-28.1611,152.3972,317.9,47,20.0,N,2019-09-29
